Case Number,Year,Type,time,Country,Activity,sex,age,fatal
2017.04.12.a,2017.0,Invalid,,SOUTH AFRICA,Diving,M,68.0,
2017.04.11,2017.0,Unprovoked,Afternoon,USA,Surfing,F,35.0,N
2017.04.10.b,2017.0,Unprovoked,Afternoon,USA,boarding,F,10.0,N
2017.04.10.a,2017.0,Unprovoked,Afternoon,USA,Swimming,F,21.0,N
2017.04.06,2017.0,Unprovoked,,USA,Swimming,M,16.0,N
2017.04.05,2017.0,Unprovoked,Afternoon,USA,Swimming,F,51.0,N
2017.04.02.b,2017.0,Unprovoked,Afternoon,AUSTRALIA,Kakaying,M,39.0,N
2017.04.02.a,2017.0,Unprovoked,Afternoon,USA,Swimming,F,17.0,N
2017.03.27,2017.0,Unprovoked,Morning,USA,Surfing,M,58.0,N
2017.03.19,2017.0,Unprovoked,Afternoon,AUSTRALIA,boarding,M,30.0,N
2017.03.18,2017.0,Boating,Afternoon,USA,Kayaking,M,,N
2017.03.11,2017.0,Unprovoked,,PHILIPPINES,Spearfishing,M,25.0,N
2017.03.09,2017.0,Unprovoked,,BAHAMAS,Washing,M,58.0,N
2017.02.25,2017.0,Unprovoked,Morning,AUSTRALIA,Snorkeling,F,,N
2017.02.24,2017.0,Unprovoked,Morning,AUSTRALIA,Surfing,M,,N
2017.02.21,2017.0,Unprovoked,Morning,REUNION,boarding,M,26.0,Y
2017.02.17,2017.0,Unprovoked,Morning,AUSTRALIA,Spearfishing,M,26.0,N
2017.02.11,2017.0,Unprovoked,Afternoon,USA,Swimming,M,22.0,N
2017.02.06.b,2017.0,Provoked,Afternoon,BRAZIL,Grabbing,F,,N
2017.02.06.a,2017.0,Boating,,SOUTH AFRICA,fishing,M,,N
2017.02.01.b,2017.0,Boating,,USA,Tagging,,,N
2017.02.01.a,2017.0,Unprovoked,,BAHAMAS,Diving,M,37.0,N
2017.01.24,2017.0,Unprovoked,Afternoon,BRAZIL,Swimming,M,21.0,N
2017.01.22,2017.0,Unprovoked,Afternoon,USA,,M,,N
2017.01.21,2017.0,Unprovoked,Afternoon,AUSTRALIA,Diving,M,55.0,N
2017.01.13.b,2017.0,Unprovoked,Afternoon,AUSTRALIA,Swimming,M,57.0,N
2017.01.13.a,2017.0,Unprovoked,Morning,USA,,M,,N
2017.01.09,2017.0,Unprovoked,Morning,INDONESIA,Surfing,M,48.0,N
2017.01.08.R,,Invalid,,AUSTRALIA,Spearfishing,M,35.0,
2017.01.05,2017.0,Unprovoked,Afternoon,USA,Wading,M,47.0,N
2017.01.03,2017.0,Invalid,Afternoon,AUSTRALIA,Wading,M,20.0,
2016.12.27,2016.0,Unprovoked,Afternoon,USA,Surfing,M,16.0,N
2016.12.24,2016.0,Unprovoked,Morning,AUSTRALIA,Snorkeling,F,,N
2016.12.19,2016.0,Unprovoked,Morning,SOUTH AFRICA,skiing,M,55.0,N
2016.12.14,2016.0,Unprovoked,Morning,AUSTRALIA,diving,M,61.0,N
2016.12.11.b,2016.0,Unprovoked,,FRENCH POLYNESIA,Fishing,M,,N
2016.12.11.a,2016.0,Invalid,Afternoon,USA,Surfing,M,19.0,
2016.12.06,2016.0,Provoked,Night,AUSTRALIA,fishing,M,20.0,N
2016.12.01,2016.0,Unprovoked,Morning,AUSTRALIA,Surfing,M,65.0,N
2016.11.28,2016.0,Provoked,Morning,AUSTRALIA,Fishing,M,73.0,N
2016.11.14,2016.0,Unprovoked,Morning,USA,Floating,F,58.0,N
2016.10.30,2016.0,Unprovoked,Afternoon,USA,Surfing,M,41.0,N
2016.10.29,2016.0,Unprovoked,Afternoon,USA,Surfing,M,42.0,N
2016.10.24,2016.0,Unprovoked,Morning,AUSTRALIA,Surfing,M,36.0,N
2016.10.21,2016.0,Unprovoked,Afternoon,USA,Surfing,M,36.0,N
2016.10.15,2016.0,Unprovoked,Afternoon,AUSTRALIA,Surfing,M,,N
2016.10.14,2016.0,Unprovoked,Morning,USA,Snorkeling,F,66.0,N
2016.10.13.R,2016.0,Invalid,,MEXICO,Diving,M,,
2016.10.12,2016.0,Unprovoked,Morning,AUSTRALIA,Surfing,M,25.0,N
2016.10.10,2016.0,Unprovoked,Afternoon,USA,Surfing,M,29.0,N
2016.10.02,2016.0,Unprovoked,Morning,USA,Surfing,M,21.0,N
2016.10.01,2016.0,Unprovoked,Afternoon,USA,,M,32.0,N
2016.09.26,2016.0,Unprovoked,9h00,AUSTRALIA,Surfing,M,17.0,N
2016.09.18.c,2016.0,Unprovoked,Afternoon,USA,Surfing,M,16.0,N
2016.09.18.b,2016.0,Unprovoked,Morning,USA,Surfing,M,36.0,N
2016.09.18.a,2016.0,Unprovoked,Morning,USA,Surfing,M,43.0,N
2016.09.17.b,2016.0,Unprovoked,Afternoon,USA,Surfing,M,43.0,N
2016.09.17.a,2016.0,Unprovoked,,AUSTRALIA,Surfing,M,,N
2016.09.15,2016.0,Unprovoked,,AUSTRALIA,Surfing,M,,N
2016.09.15.R,2016.0,Boating,,AUSTRALIA,Fishing,,,N
2016.09.11,2016.0,Unprovoked,Afternoon,USA,Wading,M,,N
2016.09.07,2016.0,Unprovoked,Afternoon,USA,Swimming,F,51.0,N
2016.09.06,2016.0,Unprovoked,Afternoon,NEW CALEDONIA,surfing,M,50.0,Y
2016.09.05.b,2016.0,Unprovoked,Afternoon,USA,boarding,F,12.0,N
2016.09.05.a,2016.0,Unprovoked,Afternoon,AUSTRALIA,Surfing,M,,N
2016.09.04,2016.0,Unprovoked,,USA,boarding,M,9.0,N
2016.09.01,2016.0,Unprovoked,,USA,Spearfishing,M,22.0,N
2016.09.00,2016.0,Invalid,,MEXICO,Diving,,,
2016.08.29.b,2016.0,Unprovoked,Afternoon,USA,Surfing,M,25.0,N
2016.08.29.a,2016.0,Unprovoked,Afternoon,USA,Surfing,M,37.0,N
2016.08.27,2016.0,Unprovoked,Afternoon,REUNION,Surfing,M,20.0,N
2016.08.25,2016.0,Unprovoked,Afternoon,USA,Wading,M,49.0,N
2016.08.07,2016.0,Unprovoked,,BAHAMAS,Snorkeling,M,15.0,N
2016.08.06,2016.0,Unprovoked,Afternoon,USA,boarding,M,21.0,N
2016.08.04,2016.0,Unprovoked,,USA,Surfing,M,22.0,N
2016.07.29,2016.0,Unprovoked,Morning,SPAIN,Swimming,M,40.0,N
2016.07.28.R,2016.0,Unprovoked,,CHINA,Swimming,M,72.0,N
2016.07.28,2016.0,Boating,,AUSTRALIA,Kayaking,M,,N
2016.07.27,2016.0,Provoked,,USA,Lobstering,M,43.0,N
2016.07.26,2016.0,Unprovoked,Afternoon,AUSTRALIA,Surfing,M,18.0,N
2016.07.24,2016.0,Unprovoked,Afternoon,JAPAN,Surfing,M,29.0,N
2016.07.23.b,2016.0,Unprovoked,,AUSTRALIA,Surfing,M,36.0,N
2016.07.23.a,2016.0,Unprovoked,,BAHAMAS,Spearfishing,M,,N
2016.07.20,2016.0,Provoked,Afternoon,AUSTRALIA,Fishing,M,31.0,N
2016.07.17,2016.0,Boating,,USA,Fishing,,,N
2016.07.16.b,2016.0,Unprovoked,Afternoon,USA,Surfing,F,9.0,N
2016.07.16.a,2016.0,Unprovoked,Morning,USA,,F,11.0,N
2016.07.15.b,2016.0,Unprovoked,Afternoon,USA,surfing,M,61.0,N
2016.07.15.a,2016.0,Unprovoked,,USA,Swimming,M,,N
2016.07.14.R,2016.0,Unprovoked,,BAHAMAS,Diving,M,,N
2016.07.08.R,2016.0,Unprovoked,,SPAIN,Wading,F,10.0,N
2016.07.08,2016.0,Boating,,USA,Fishing,M,,N
2016.07.07.b,2016.0,Provoked,Morning,USA,Fishing,M,59.0,N
2016.07.07.a,2016.0,Boating,,USA,Fishing,M,,N
2016.07.06,2016.0,Unprovoked,Afternoon,USA,Swimming,F,42.0,N
2016.07.04,2016.0,Provoked,Night,AUSTRALIA,Fishing,M,34.0,N
2016.06.27,2016.0,Unprovoked,Afternoon,USA,,M,35.0,N
2016.06.25,2016.0,Unprovoked,Afternoon,USA,Surfing,M,11.0,N
2016.06.24,2016.0,Unprovoked,Morning,COLUMBIA,Diving,M,59.0,N
2016.06.23,2016.0,Unprovoked,,SOUTH AFRICA,Spearfishing,M,43.0,N
2016.06.21.b,2016.0,Unprovoked,Afternoon,USA,Floating,M,42.0,N
2016.06.21.a,2016.0,Unprovoked,Afternoon,USA,Wading,M,,N
2016.06.15.b,2016.0,Unprovoked,Morning,USA,Surfing,M,,N
2016.06.15.a,2016.0,Provoked,,AUSTRALIA,Spearfishing,M,19.0,N
2016.06.14,2016.0,Unprovoked,Afternoon,USA,Floating,F,6.0,N
2016.06.11,2016.0,Unprovoked,Afternoon,USA,Standing,M,19.0,N
2016.06.07,2016.0,Invalid,Morning,USA,Surfing,M,27.0,
2016.06.05.b,2016.0,Unprovoked,Morning,USA,Swimming,M,64.0,N
2016.06.05.a,2016.0,Unprovoked,Morning,AUSTRALIA,Diving,F,60.0,Y
2016.06.04,2016.0,Unprovoked,Morning,EGYPT,Swimming,M,23.0,N
2016.06.02.b,2016.0,Unprovoked,,AUSTRALIA,Spearfishing,M,,
2016.06.02.a,2016.0,Unprovoked,Afternoon,NEW CALEDONIA,surfing,M,,N
2016.05.31,2016.0,Unprovoked,Afternoon,AUSTRALIA,Surfing,M,29.0,Y
2016.05.29.b,2016.0,Unprovoked,Afternoon,USA,Swimming,F,52.0,N
2016.05.29.a,2016.0,Unprovoked,Afternoon,USA,Swimming,M,13.0,N
2016.05.22,2016.0,Unprovoked,Afternoon,USA,Swimming,F,57.0,N
2016.05.21.b,2016.0,Unprovoked,Afternoon,USA,Swimming,F,22.0,N
2016.05.21.a,2016.0,Unprovoked,Afternoon,USA,Swimming,F,11.0,N
2016.05.18,2016.0,Unprovoked,Morning ,USA,Swimming,M,48.0,N
2016.05.15,2016.0,Provoked,Afternoon,USA,Teasing,F,23.0,N
2016.05.03,2016.0,Unprovoked,Afternoon,USA,Floating,M,59.0,N
2016.05.02,2016.0,Provoked,Afternoon,NEW ZEALAND,Fishing,M,39.0,N
2016.04.25,2016.0,Unprovoked,Morning,INDONESIA,Surfing,M,24.0,N
2016.04.23,2016.0,Unprovoked,Afternoon,USA,Surfing,M,15.0,N
2016.04.22,2016.0,Unprovoked,Morning,SOUTH AFRICA,Surf-skiing,M,,N
2016.04.19,2016.0,Unprovoked,Afternoon,AUSTRALIA,Swimming,M,12.0,N
2016.04.18.b,2016.0,Provoked,Morning,FRENCH POLYNESIA,Spearfishing,M,22.0,N
2016.04.18.a,2016.0,Provoked,Morning,FRENCH POLYNESIA,Spearfishing,M,26.0,N
2016.04.13,2016.0,Unprovoked,,USA,Spearfishing,M,26.0,N
2016.04.09,2016.0,Unprovoked,Morning,NEW CALEDONIA,Walking,F,69.0,Y
2016.04.08,2016.0,Invalid,,CAPE VERDE,,M,60.0,
2016.04.07.b,2016.0,Unprovoked,,USA,Fishing,M,34.0,N
2016.04.07.a,2016.0,Invalid,,USA,,M,,
2016.03.31,2016.0,Unprovoked,Morning,USA,Snorkeling,F,46.0,N
2016.03.30,2016.0,Unprovoked,Afternoon,AUSTRALIA,Surfing,M,22.0,N
2016.03.28.b,2016.0,Unprovoked,,USA,,M,,
2016.03.28.a,2016.0,Unprovoked,Morning,AUSTRALIA,Surfing,M,41.0,N
2016.03.26,2016.0,Provoked,,BAHAMAS,,M,9.0,N
2016.03.13,2016.0,Invalid,Morning,USA,Surfing,,,
2016.03.11,2016.0,Unprovoked,Afternoon,USA,surfing,M,19.0,N
2016.03.10,2016.0,Unprovoked,Afternoon,Fiji,Diving,M,45.0,Y
2016.03.04,2016.0,Unprovoked,Afternoon,USA,,M,12.0,N
2016.03.03.R,2016.0,Unprovoked,Afternoon,AUSTRALIA,Fishing,M,,N
2016.03.02,2016.0,Unprovoked,,BRAZIL,Swimming,M,41.0,N
2016.02.22,2016.0,Unprovoked,Afternoon,NEW CALEDONIA,surfing,M,21.0,N
2016.02.19,2016.0,Unprovoked,Afternoon,NEW CALEDONIA,Spearfishing,M,31.0,N
2016.02.12,2016.0,Unprovoked,Afternoon,DOMINICAN REPUBLIC,Wading,F,,N
2016.02.10.R,2016.0,Invalid,,CAYMAN ISLANDS,Feeding,M,65.0,
2016.02.10,2016.0,Invalid,Afternoon,AUSTRALIA,Surfing,M,,
2016.02.05,2016.0,Unprovoked,Afternoon,AUSTRALIA,Walking,F,45.0,N
2016.02.04,2016.0,Unprovoked,Afternoon,AUSTRALIA,Windsurfing,M,40.0,N
2016.02.02,2016.0,Unprovoked,,BRAZIL,Swimming,M,41.0,N
2016.01.29,2016.0,Boating,,SOUTH AFRICA,fishing,M,,N
